Country,State,District,Year,"Enrolled Trainees Under Craftsmen Training Scheme (UOM:Number), Scaling Factor:1","Institutes For Training Under Craftsmen Training Scheme Scheme (UOM:Number), Scaling Factor:1","Seating Capacity Of Training Centers (UOM:Number), Scaling Factor:1"
India,Andaman and Nicobar Islands,Nicobars,"Financial Year (Apr - Mar), 2021",195,1,312
India,Andaman and Nicobar Islands,North and Middle Andaman,"Financial Year (Apr - Mar), 2021",48,1,68
India,Andaman and Nicobar Islands,South Andamans,"Financial Year (Apr - Mar), 2021",563,2,636
India,Andhra Pradesh,Ananthapuramu,"Financial Year (Apr - Mar), 2021",6076,39,10468
India,Andhra Pradesh,Chittoor,"Financial Year (Apr - Mar), 2021",5841,43,11148
India,Andhra Pradesh,East Godavari,"Financial Year (Apr - Mar), 2021",6748,37,13316
India,Andhra Pradesh,Guntur,"Financial Year (Apr - Mar), 2021",5338,38,8264
India,Andhra Pradesh,Krishna,"Financial Year (Apr - Mar), 2021",4381,35,9140
India,Andhra Pradesh,Kurnool,"Financial Year (Apr - Mar), 2021",5228,36,8632
India,Andhra Pradesh,Prakasam,"Financial Year (Apr - Mar), 2021",7309,50,9984
India,Andhra Pradesh,Sri Potti Sriramulu Nellore,"Financial Year (Apr - Mar), 2021",4556,31,7168
India,Andhra Pradesh,Srikakulam,"Financial Year (Apr - Mar), 2021",6528,26,8280
India,Andhra Pradesh,Visakhapatnam,"Financial Year (Apr - Mar), 2021",12032,67,19900
India,Andhra Pradesh,Vizianagaram,"Financial Year (Apr - Mar), 2021",6539,31,10148
India,Andhra Pradesh,West Godavari,"Financial Year (Apr - Mar), 2021",6698,39,13400
India,Andhra Pradesh,Y.S.R.,"Financial Year (Apr - Mar), 2021",2783,38,9852
India,Arunachal Pradesh,Anjaw,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,Changlang,"Financial Year (Apr - Mar), 2021",104,1,240
India,Arunachal Pradesh,Dibang Valley,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,East Kameng,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,East Siang,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,Kamle,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,Kra Daadi,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,Kurung Kumey,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,Leparada,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,Lohit,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,Longding,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,Lower Dibang Valley,"Financial Year (Apr - Mar), 2021",300,1,528
India,Arunachal Pradesh,Lower Siang,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,Lower Subansiri,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,Namsai,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,Pakke Kessang,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,Papum Pare,"Financial Year (Apr - Mar), 2021",159,2,536
India,Arunachal Pradesh,Shi Yomi,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,Siang,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,Tawang,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,Tirap,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,Upper Siang,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,Upper Subansiri,"Financial Year (Apr - Mar), 2021",90,1,188
India,Arunachal Pradesh,West Kameng,"Financial Year (Apr - Mar), 2021",120,1,368
India,Arunachal Pradesh,West Siang,"Financial Year (Apr - Mar), 2021",0,0,0
India,Assam,Baksa,"Financial Year (Apr - Mar), 2021",0,0,0
India,Assam,Barpeta,"Financial Year (Apr - Mar), 2021",216,1,348
India,Assam,Biswanath,"Financial Year (Apr - Mar), 2021",0,0,0
India,Assam,Bongaigaon,"Financial Year (Apr - Mar), 2021",219,1,436
India,Assam,Cachar,"Financial Year (Apr - Mar), 2021",196,2,632
India,Assam,Charaideo,"Financial Year (Apr - Mar), 2021",0,0,0
India,Assam,Chirang,"Financial Year (Apr - Mar), 2021",0,0,0
India,Assam,Darrang,"Financial Year (Apr - Mar), 2021",117,1,152
India,Assam,Dhemaji,"Financial Year (Apr - Mar), 2021",65,1,108
India,Assam,Dhubri,"Financial Year (Apr - Mar), 2021",18,1,40
India,Assam,Dibrugarh,"Financial Year (Apr - Mar), 2021",38,1,72
India,Assam,Dima Hasao,"Financial Year (Apr - Mar), 2021",75,1,172
India,Assam,Goalpara,"Financial Year (Apr - Mar), 2021",52,1,88
India,Assam,Golaghat,"Financial Year (Apr - Mar), 2021",40,1,40
India,Assam,Hailakandi,"Financial Year (Apr - Mar), 2021",34,1,44
India,Assam,Hojai,"Financial Year (Apr - Mar), 2021",0,0,0
India,Assam,Jorhat,"Financial Year (Apr - Mar), 2021",1152,5,1912
India,Assam,Kamrup,"Financial Year (Apr - Mar), 2021",486,2,844
India,Assam,Kamrup Metro,"Financial Year (Apr - Mar), 2021",81,1,164
India,Assam,Karbi Anglong,"Financial Year (Apr - Mar), 2021",89,1,256
India,Assam,Karimganj,"Financial Year (Apr - Mar), 2021",9,1,44
India,Assam,Kokrajhar,"Financial Year (Apr - Mar), 2021",75,1,156
India,Assam,Lakhimpur,"Financial Year (Apr - Mar), 2021",5,1,20
India,Assam,Majuli,"Financial Year (Apr - Mar), 2021",0,0,0
India,Assam,Marigaon,"Financial Year (Apr - Mar), 2021",82,1,180
India,Assam,Nagaon,"Financial Year (Apr - Mar), 2021",478,2,1048
India,Assam,Nalbari,"Financial Year (Apr - Mar), 2021",30,1,84
India,Assam,Sivasagar,"Financial Year (Apr - Mar), 2021",400,2,476
India,Assam,Sonitpur,"Financial Year (Apr - Mar), 2021",325,1,492
India,Assam,South Salmara Mancachar,"Financial Year (Apr - Mar), 2021",0,0,0
India,Assam,Tinsukia,"Financial Year (Apr - Mar), 2021",571,3,976
India,Assam,Udalguri,"Financial Year (Apr - Mar), 2021",89,2,152
India,Assam,West Karbi Anglong,"Financial Year (Apr - Mar), 2021",0,0,0
India,Bihar,Araria,"Financial Year (Apr - Mar), 2021",341,5,1788
India,Bihar,Arwal,"Financial Year (Apr - Mar), 2021",1306,20,3432
India,Bihar,Aurangabad,"Financial Year (Apr - Mar), 2021",4209,41,9616
India,Bihar,Banka,"Financial Year (Apr - Mar), 2021",920,17,2944
India,Bihar,Begusarai,"Financial Year (Apr - Mar), 2021",2088,34,7860
India,Bihar,Bhagalpur,"Financial Year (Apr - Mar), 2021",2367,38,8816
India,Bihar,Bhojpur,"Financial Year (Apr - Mar), 2021",3436,54,9620
India,Bihar,Buxar,"Financial Year (Apr - Mar), 2021",1796,26,5716
India,Bihar,Darbhanga,"Financial Year (Apr - Mar), 2021",1074,23,5272
India,Bihar,Gaya,"Financial Year (Apr - Mar), 2021",6319,86,18576
India,Bihar,Gopalganj,"Financial Year (Apr - Mar), 2021",1558,22,5336
India,Bihar,Jamui,"Financial Year (Apr - Mar), 2021",1424,24,5088
India,Bihar,Jehanabad,"Financial Year (Apr - Mar), 2021",2063,34,5664
India,Bihar,Kaimur (Bhabua),"Financial Year (Apr - Mar), 2021",728,14,2900
India,Bihar,Katihar,"Financial Year (Apr - Mar), 2021",928,13,3832
India,Bihar,Khagaria,"Financial Year (Apr - Mar), 2021",397,9,2032
India,Bihar,Kishanganj,"Financial Year (Apr - Mar), 2021",137,5,928
India,Bihar,Lakhisarai,"Financial Year (Apr - Mar), 2021",534,8,1448
India,Bihar,Madhepura,"Financial Year (Apr - Mar), 2021",401,8,1432
India,Bihar,Madhubani,"Financial Year (Apr - Mar), 2021",1523,26,5360
India,Bihar,Munger,"Financial Year (Apr - Mar), 2021",2217,40,7760
India,Bihar,Muzaffarpur,"Financial Year (Apr - Mar), 2021",3160,61,13036
India,Bihar,Nalanda,"Financial Year (Apr - Mar), 2021",5856,87,17428
India,Bihar,Nawada,"Financial Year (Apr - Mar), 2021",2087,33,7668
India,Bihar,Pashchim Champaran,"Financial Year (Apr - Mar), 2021",1177,24,6720
India,Bihar,Patna,"Financial Year (Apr - Mar), 2021",12268,228,47124
India,Bihar,Purbi Champaran,"Financial Year (Apr - Mar), 2021",1441,23,5996
India,Bihar,Purnia,"Financial Year (Apr - Mar), 2021",772,15,2896
India,Bihar,Rohtas,"Financial Year (Apr - Mar), 2021",5269,69,15184
India,Bihar,Saharsa,"Financial Year (Apr - Mar), 2021",242,7,1340
India,Bihar,Samastipur,"Financial Year (Apr - Mar), 2021",2862,43,9768
India,Bihar,Saran,"Financial Year (Apr - Mar), 2021",2967,64,13448
India,Bihar,Sheikhpura,"Financial Year (Apr - Mar), 2021",1021,13,2448
India,Bihar,Sheohar,"Financial Year (Apr - Mar), 2021",208,4,784
India,Bihar,Sitamarhi,"Financial Year (Apr - Mar), 2021",1363,18,4212
India,Bihar,Siwan,"Financial Year (Apr - Mar), 2021",1808,28,6368
India,Bihar,Supaul,"Financial Year (Apr - Mar), 2021",485,7,2484
India,Bihar,Vaishali,"Financial Year (Apr - Mar), 2021",3344,61,12088
India,Chandigarh,Chandigarh,"Financial Year (Apr - Mar), 2021",1075,2,1344
India,Chhattisgarh,Balod,"Financial Year (Apr - Mar), 2021",1621,12,2032
India,Chhattisgarh,Balodabazar-Bhatapara,"Financial Year (Apr - Mar), 2021",990,8,1464
India,Chhattisgarh,Balrampur Ramanujganj,"Financial Year (Apr - Mar), 2021",184,3,224
India,Chhattisgarh,Bastar,"Financial Year (Apr - Mar), 2021",849,7,1392
India,Chhattisgarh,Bemetara,"Financial Year (Apr - Mar), 2021",700,10,1108
India,Chhattisgarh,Bijapur,"Financial Year (Apr - Mar), 2021",183,2,224
India,Chhattisgarh,Bilaspur,"Financial Year (Apr - Mar), 2021",3256,19,4664
India,Chhattisgarh,Dakshin Bastar Dantewada,"Financial Year (Apr - Mar), 2021",381,3,460
India,Chhattisgarh,Dhamtari,"Financial Year (Apr - Mar), 2021",917,7,1132
India,Chhattisgarh,Durg,"Financial Year (Apr - Mar), 2021",4042,31,7424
India,Chhattisgarh,Gariyaband,"Financial Year (Apr - Mar), 2021",261,2,388
India,Chhattisgarh,Gaurela Pendra Marwahi,"Financial Year (Apr - Mar), 2021",354,3,472
India,Chhattisgarh,Janjgir-Champa,"Financial Year (Apr - Mar), 2021",3293,22,4648
India,Chhattisgarh,Jashpur,"Financial Year (Apr - Mar), 2021",209,3,304
India,Chhattisgarh,Kabeerdham,"Financial Year (Apr - Mar), 2021",356,4,508
India,Chhattisgarh,Kondagaon,"Financial Year (Apr - Mar), 2021",545,3,648
India,Chhattisgarh,Korba,"Financial Year (Apr - Mar), 2021",999,8,1680
India,Chhattisgarh,Korea,"Financial Year (Apr - Mar), 2021",801,9,1208
India,Chhattisgarh,Mahasamund,"Financial Year (Apr - Mar), 2021",628,5,1024
India,Chhattisgarh,Mungeli,"Financial Year (Apr - Mar), 2021",244,3,336
India,Chhattisgarh,Narayanpur,"Financial Year (Apr - Mar), 2021",389,2,588
India,Chhattisgarh,Raigarh,"Financial Year (Apr - Mar), 2021",1462,12,1976
India,Chhattisgarh,Raipur,"Financial Year (Apr - Mar), 2021",1915,15,3284
India,Chhattisgarh,Rajnandgaon,"Financial Year (Apr - Mar), 2021",1444,15,2256
India,Chhattisgarh,Sukma,"Financial Year (Apr - Mar), 2021",82,2,128
India,Chhattisgarh,Surajpur,"Financial Year (Apr - Mar), 2021",345,6,400
India,Chhattisgarh,Surguja,"Financial Year (Apr - Mar), 2021",757,6,1116
India,Chhattisgarh,Uttar Bastar Kanker,"Financial Year (Apr - Mar), 2021",552,6,804
India,Delhi,Central,"Financial Year (Apr - Mar), 2021",1776,4,3684
India,Delhi,East,"Financial Year (Apr - Mar), 2021",1588,8,2912
India,Delhi,New Delhi,"Financial Year (Apr - Mar), 2021",0,0,0
India,Delhi,North,"Financial Year (Apr - Mar), 2021",0,0,0
India,Delhi,North East,"Financial Year (Apr - Mar), 2021",2995,8,5496
India,Delhi,North West,"Financial Year (Apr - Mar), 2021",583,5,1048
India,Delhi,Shahdara,"Financial Year (Apr - Mar), 2021",0,0,0
India,Delhi,South,"Financial Year (Apr - Mar), 2021",1975,9,4232
India,Delhi,South East,"Financial Year (Apr - Mar), 2021",434,1,1160
India,Delhi,South West,"Financial Year (Apr - Mar), 2021",634,10,1912
India,Delhi,West,"Financial Year (Apr - Mar), 2021",1783,8,3328
India,Goa,North Goa,"Financial Year (Apr - Mar), 2021",1193,7,2072
India,Goa,South Goa,"Financial Year (Apr - Mar), 2021",1661,6,3116
India,Gujarat,Ahmadabad,"Financial Year (Apr - Mar), 2021",8816,28,13900
India,Gujarat,Amreli,"Financial Year (Apr - Mar), 2021",2275,14,4892
India,Gujarat,Anand,"Financial Year (Apr - Mar), 2021",3740,28,6092
India,Gujarat,Arvalli,"Financial Year (Apr - Mar), 2021",3875,14,5820
India,Gujarat,Banas Kantha,"Financial Year (Apr - Mar), 2021",4695,23,7300
India,Gujarat,Bharuch,"Financial Year (Apr - Mar), 2021",4056,20,6776
India,Gujarat,Bhavnagar,"Financial Year (Apr - Mar), 2021",3029,15,5644
India,Gujarat,Botad,"Financial Year (Apr - Mar), 2021",646,4,1100
India,Gujarat,Chhotaudepur,"Financial Year (Apr - Mar), 2021",1135,5,1712
India,Gujarat,Dang,"Financial Year (Apr - Mar), 2021",411,1,616
India,Gujarat,Devbhumi Dwarka,"Financial Year (Apr - Mar), 2021",1105,4,1564
India,Gujarat,Dohad,"Financial Year (Apr - Mar), 2021",5592,23,7960
India,Gujarat,Gandhinagar,"Financial Year (Apr - Mar), 2021",2629,11,4940
India,Gujarat,Gir Somnath,"Financial Year (Apr - Mar), 2021",1429,8,2172
India,Gujarat,Jamnagar,"Financial Year (Apr - Mar), 2021",2595,9,4784
India,Gujarat,Junagadh,"Financial Year (Apr - Mar), 2021",3122,23,5892
India,Gujarat,Kachchh,"Financial Year (Apr - Mar), 2021",3082,14,4844
India,Gujarat,Kheda,"Financial Year (Apr - Mar), 2021",4718,24,8056
India,Gujarat,Mahesana,"Financial Year (Apr - Mar), 2021",6181,28,9712
India,Gujarat,Mahisagar,"Financial Year (Apr - Mar), 2021",1976,7,2384
India,Gujarat,Morbi,"Financial Year (Apr - Mar), 2021",890,8,2288
India,Gujarat,Narmada,"Financial Year (Apr - Mar), 2021",977,7,1496
India,Gujarat,Navsari,"Financial Year (Apr - Mar), 2021",4723,13,7684
India,Gujarat,Panch Mahals,"Financial Year (Apr - Mar), 2021",6749,32,8800
India,Gujarat,Patan,"Financial Year (Apr - Mar), 2021",3164,16,4552
India,Gujarat,Porbandar,"Financial Year (Apr - Mar), 2021",689,3,1008
India,Gujarat,Rajkot,"Financial Year (Apr - Mar), 2021",3181,17,7284
India,Gujarat,Sabar Kantha,"Financial Year (Apr - Mar), 2021",3173,16,4896
India,Gujarat,Surat,"Financial Year (Apr - Mar), 2021",5762,24,9348
India,Gujarat,Surendranagar,"Financial Year (Apr - Mar), 2021",3214,16,4504
India,Gujarat,Tapi,"Financial Year (Apr - Mar), 2021",2009,7,2784
India,Gujarat,Vadodara,"Financial Year (Apr - Mar), 2021",8075,35,12936
India,Gujarat,Valsad,"Financial Year (Apr - Mar), 2021",2795,9,4244
India,Haryana,Ambala,"Financial Year (Apr - Mar), 2021",3002,10,5756
India,Haryana,Bhiwani,"Financial Year (Apr - Mar), 2021",4964,47,10356
India,Haryana,Charki Dadri,"Financial Year (Apr - Mar), 2021",942,5,1488
India,Haryana,Faridabad,"Financial Year (Apr - Mar), 2021",1535,9,2972
India,Haryana,Fatehabad,"Financial Year (Apr - Mar), 2021",3282,22,6428
India,Haryana,Gurugram,"Financial Year (Apr - Mar), 2021",1554,9,4248
India,Haryana,Hisar,"Financial Year (Apr - Mar), 2021",5521,38,13260
India,Haryana,Jhajjar,"Financial Year (Apr - Mar), 2021",3421,15,6524
India,Haryana,Jind,"Financial Year (Apr - Mar), 2021",4263,27,7896
India,Haryana,Kaithal,"Financial Year (Apr - Mar), 2021",3414,20,6916
India,Haryana,Karnal,"Financial Year (Apr - Mar), 2021",2981,18,5840
India,Haryana,Kurukshetra,"Financial Year (Apr - Mar), 2021",2755,22,6272
India,Haryana,Mahendragarh,"Financial Year (Apr - Mar), 2021",3453,24,6176
India,Haryana,Nuh,"Financial Year (Apr - Mar), 2021",2546,10,4656
India,Haryana,Palwal,"Financial Year (Apr - Mar), 2021",1795,9,2944
India,Haryana,Panchkula,"Financial Year (Apr - Mar), 2021",1324,8,2748
India,Haryana,Panipat,"Financial Year (Apr - Mar), 2021",1947,14,3812
India,Haryana,Rewari,"Financial Year (Apr - Mar), 2021",3595,23,6436
India,Haryana,Rohtak,"Financial Year (Apr - Mar), 2021",3224,18,8052
India,Haryana,Sirsa,"Financial Year (Apr - Mar), 2021",3146,16,5516
India,Haryana,Sonipat,"Financial Year (Apr - Mar), 2021",3052,15,6044
India,Haryana,Yamunanagar,"Financial Year (Apr - Mar), 2021",2633,17,5152
India,Himachal Pradesh,Bilaspur,"Financial Year (Apr - Mar), 2021",2054,18,3456
India,Himachal Pradesh,Chamba,"Financial Year (Apr - Mar), 2021",1955,17,3208
India,Himachal Pradesh,Hamirpur,"Financial Year (Apr - Mar), 2021",2500,30,4924
India,Himachal Pradesh,Kangra,"Financial Year (Apr - Mar), 2021",7174,53,12032
India,Himachal Pradesh,Kinnaur,"Financial Year (Apr - Mar), 2021",143,3,464
India,Himachal Pradesh,Kullu,"Financial Year (Apr - Mar), 2021",1729,13,2896
India,Himachal Pradesh,Lahul and Spiti,"Financial Year (Apr - Mar), 2021",80,2,396
India,Himachal Pradesh,Mandi,"Financial Year (Apr - Mar), 2021",4950,40,9328
India,Himachal Pradesh,Shimla,"Financial Year (Apr - Mar), 2021",2451,27,5148
India,Himachal Pradesh,Sirmaur,"Financial Year (Apr - Mar), 2021",1554,19,2700
India,Himachal Pradesh,Solan,"Financial Year (Apr - Mar), 2021",3170,22,5952
India,Himachal Pradesh,Una,"Financial Year (Apr - Mar), 2021",2785,24,4940
India,Jammu and Kashmir,Anantnag,"Financial Year (Apr - Mar), 2021",770,2,928
India,Jammu and Kashmir,Bandipora,"Financial Year (Apr - Mar), 2021",235,1,252
India,Jammu and Kashmir,Baramulla,"Financial Year (Apr - Mar), 2021",777,5,1128
India,Jammu and Kashmir,Budgam,"Financial Year (Apr - Mar), 2021",426,2,568
India,Jammu and Kashmir,Doda,"Financial Year (Apr - Mar), 2021",498,3,636
India,Jammu and Kashmir,Ganderbal,"Financial Year (Apr - Mar), 2021",414,2,532
India,Jammu and Kashmir,Jammu,"Financial Year (Apr - Mar), 2021",758,6,1332
India,Jammu and Kashmir,Kathua,"Financial Year (Apr - Mar), 2021",718,4,904
India,Jammu and Kashmir,Kishtwar,"Financial Year (Apr - Mar), 2021",396,1,520
India,Jammu and Kashmir,Kulgam,"Financial Year (Apr - Mar), 2021",469,2,616
India,Jammu and Kashmir,Kupwara,"Financial Year (Apr - Mar), 2021",559,3,648
India,Jammu and Kashmir,Poonch,"Financial Year (Apr - Mar), 2021",370,3,492
India,Jammu and Kashmir,Pulwama,"Financial Year (Apr - Mar), 2021",593,3,972
India,Jammu and Kashmir,Rajouri,"Financial Year (Apr - Mar), 2021",442,2,572
India,Jammu and Kashmir,Ramban,"Financial Year (Apr - Mar), 2021",372,3,472
India,Jammu and Kashmir,Reasi,"Financial Year (Apr - Mar), 2021",245,2,312
India,Jammu and Kashmir,Samba,"Financial Year (Apr - Mar), 2021",183,1,248
India,Jammu and Kashmir,Shopian,"Financial Year (Apr - Mar), 2021",213,1,272
India,Jammu and Kashmir,Srinagar,"Financial Year (Apr - Mar), 2021",711,3,1076
India,Jammu and Kashmir,Udhampur,"Financial Year (Apr - Mar), 2021",152,1,220
India,Jharkhand,Bokaro,"Financial Year (Apr - Mar), 2021",2514,30,8064
India,Jharkhand,Chatra,"Financial Year (Apr - Mar), 2021",93,2,408
India,Jharkhand,Deoghar,"Financial Year (Apr - Mar), 2021",2043,23,7124
India,Jharkhand,Dhanbad,"Financial Year (Apr - Mar), 2021",4641,47,18272
India,Jharkhand,Dumka,"Financial Year (Apr - Mar), 2021",835,11,3740
India,Jharkhand,East Singhbum,"Financial Year (Apr - Mar), 2021",1992,33,8720
India,Jharkhand,Garhwa,"Financial Year (Apr - Mar), 2021",308,7,1932
India,Jharkhand,Giridih,"Financial Year (Apr - Mar), 2021",260,6,1420
India,Jharkhand,Godda,"Financial Year (Apr - Mar), 2021",860,9,2688
India,Jharkhand,Gumla,"Financial Year (Apr - Mar), 2021",207,4,776
India,Jharkhand,Hazaribagh,"Financial Year (Apr - Mar), 2021",1899,19,5176
India,Jharkhand,Jamtara,"Financial Year (Apr - Mar), 2021",447,6,1484
India,Jharkhand,Khunti,"Financial Year (Apr - Mar), 2021",85,2,228
India,Jharkhand,Koderma,"Financial Year (Apr - Mar), 2021",527,6,1468
India,Jharkhand,Latehar,"Financial Year (Apr - Mar), 2021",231,5,988
India,Jharkhand,Lohardaga,"Financial Year (Apr - Mar), 2021",284,4,960
India,Jharkhand,Pakur,"Financial Year (Apr - Mar), 2021",101,1,428
India,Jharkhand,Palamu,"Financial Year (Apr - Mar), 2021",1864,19,6704
India,Jharkhand,Ramgarh,"Financial Year (Apr - Mar), 2021",614,8,2428
India,Jharkhand,Ranchi,"Financial Year (Apr - Mar), 2021",3480,51,18800
India,Jharkhand,Sahebganj,"Financial Year (Apr - Mar), 2021",126,2,496
India,Jharkhand,Saraikela Kharsawan,"Financial Year (Apr - Mar), 2021",1359,18,5720
India,Jharkhand,Simdega,"Financial Year (Apr - Mar), 2021",38,3,360
India,Jharkhand,West Singhbhum,"Financial Year (Apr - Mar), 2021",1045,9,2228
India,Karnataka,Bagalkote,"Financial Year (Apr - Mar), 2021",5199,76,9336
India,Karnataka,Ballari,"Financial Year (Apr - Mar), 2021",6878,89,11612
India,Karnataka,Belagavi,"Financial Year (Apr - Mar), 2021",8090,124,15072
India,Karnataka,Bengaluru Rural,"Financial Year (Apr - Mar), 2021",1712,21,2964
India,Karnataka,Bengaluru Urban,"Financial Year (Apr - Mar), 2021",4461,53,11644
India,Karnataka,Bidar,"Financial Year (Apr - Mar), 2021",5156,74,8872
India,Karnataka,Chamarajanagara,"Financial Year (Apr - Mar), 2021",4970,68,10012
India,Karnataka,Chikkaballapura,"Financial Year (Apr - Mar), 2021",2035,25,3748
India,Karnataka,Chikkamagaluru,"Financial Year (Apr - Mar), 2021",1210,24,3228
India,Karnataka,Chitradurga,"Financial Year (Apr - Mar), 2021",3843,64,6404
India,Karnataka,Dakshina Kannada,"Financial Year (Apr - Mar), 2021",3586,29,6404
India,Karnataka,Davangere,"Financial Year (Apr - Mar), 2021",3794,57,7940
India,Karnataka,Dharwad,"Financial Year (Apr - Mar), 2021",4359,57,8500
India,Karnataka,Gadag,"Financial Year (Apr - Mar), 2021",2829,43,5652
India,Karnataka,Hassan,"Financial Year (Apr - Mar), 2021",3474,72,9732
India,Karnataka,Haveri,"Financial Year (Apr - Mar), 2021",2974,53,6020
India,Karnataka,Kalaburagi,"Financial Year (Apr - Mar), 2021",5473,83,10768
India,Karnataka,Kodagu,"Financial Year (Apr - Mar), 2021",414,6,1216
India,Karnataka,Kolar,"Financial Year (Apr - Mar), 2021",3521,37,6856
India,Karnataka,Koppal,"Financial Year (Apr - Mar), 2021",2975,46,5320
India,Karnataka,Mandya,"Financial Year (Apr - Mar), 2021",2996,53,7008
India,Karnataka,Mysuru,"Financial Year (Apr - Mar), 2021",116,2,256
India,Karnataka,Raichur,"Financial Year (Apr - Mar), 2021",2032,38,4004
India,Karnataka,Ramanagara,"Financial Year (Apr - Mar), 2021",2021,27,3880
India,Karnataka,Shivamogga,"Financial Year (Apr - Mar), 2021",2456,42,7196
India,Karnataka,Tumakuru,"Financial Year (Apr - Mar), 2021",5729,71,9132
India,Karnataka,Udupi,"Financial Year (Apr - Mar), 2021",1203,14,2364
India,Karnataka,Uttara Kannada,"Financial Year (Apr - Mar), 2021",2911,24,5152
India,Karnataka,Vijayapura,"Financial Year (Apr - Mar), 2021",5380,98,10960
India,Karnataka,Yadgir,"Financial Year (Apr - Mar), 2021",1618,31,3236
India,Kerala,Alappuzha,"Financial Year (Apr - Mar), 2021",4144,39,7636
India,Kerala,Ernakulam,"Financial Year (Apr - Mar), 2021",4668,33,9476
India,Kerala,Idukki,"Financial Year (Apr - Mar), 2021",1219,11,1848
India,Kerala,Kannur,"Financial Year (Apr - Mar), 2021",3395,35,5556
India,Kerala,Kasaragod,"Financial Year (Apr - Mar), 2021",1912,16,2644
India,Kerala,Kollam,"Financial Year (Apr - Mar), 2021",5621,43,10348
India,Kerala,Kottayam,"Financial Year (Apr - Mar), 2021",3836,30,6572
India,Kerala,Kozhikode,"Financial Year (Apr - Mar), 2021",4843,47,8844
India,Kerala,Malappuram,"Financial Year (Apr - Mar), 2021",3416,52,7784
India,Kerala,Palakkad,"Financial Year (Apr - Mar), 2021",3929,30,5832
India,Kerala,Pathanamthitta,"Financial Year (Apr - Mar), 2021",1969,22,3980
India,Kerala,Thiruvananthapuram,"Financial Year (Apr - Mar), 2021",8217,51,12504
India,Kerala,Thrissur,"Financial Year (Apr - Mar), 2021",4472,43,7868
India,Kerala,Wayanad,"Financial Year (Apr - Mar), 2021",567,7,840
India,Ladakh,Kargil,"Financial Year (Apr - Mar), 2021",111,1,136
India,Ladakh,Leh Ladakh,"Financial Year (Apr - Mar), 2021",50,2,136
India,Lakshadweep,Lakshadweep District,"Financial Year (Apr - Mar), 2021",374,1,480
India,Madhya Pradesh,Agar-Malwa,"Financial Year (Apr - Mar), 2021",146,3,348
India,Madhya Pradesh,Alirajpur,"Financial Year (Apr - Mar), 2021",222,2,616
India,Madhya Pradesh,Anuppur,"Financial Year (Apr - Mar), 2021",1044,12,2056
India,Madhya Pradesh,Ashoknagar,"Financial Year (Apr - Mar), 2021",645,10,1772
India,Madhya Pradesh,Balaghat,"Financial Year (Apr - Mar), 2021",3695,43,9484
India,Madhya Pradesh,Barwani,"Financial Year (Apr - Mar), 2021",633,6,1132
India,Madhya Pradesh,Betul,"Financial Year (Apr - Mar), 2021",4742,38,8756
India,Madhya Pradesh,Bhind,"Financial Year (Apr - Mar), 2021",3613,33,5608
India,Madhya Pradesh,Bhopal,"Financial Year (Apr - Mar), 2021",4788,54,17220
India,Madhya Pradesh,Burhanpur,"Financial Year (Apr - Mar), 2021",557,7,1344
India,Madhya Pradesh,Chhatarpur,"Financial Year (Apr - Mar), 2021",2307,30,4160
India,Madhya Pradesh,Chhindwara,"Financial Year (Apr - Mar), 2021",4089,44,9792
India,Madhya Pradesh,Damoh,"Financial Year (Apr - Mar), 2021",798,10,1864
India,Madhya Pradesh,Datia,"Financial Year (Apr - Mar), 2021",1857,22,3228
India,Madhya Pradesh,Dewas,"Financial Year (Apr - Mar), 2021",1673,15,3252
India,Madhya Pradesh,Dhar,"Financial Year (Apr - Mar), 2021",1334,11,2652
India,Madhya Pradesh,Dindori,"Financial Year (Apr - Mar), 2021",381,4,668
India,Madhya Pradesh,Guna,"Financial Year (Apr - Mar), 2021",1138,12,2092
India,Madhya Pradesh,Gwalior,"Financial Year (Apr - Mar), 2021",8271,70,15540
India,Madhya Pradesh,Harda,"Financial Year (Apr - Mar), 2021",840,11,2040
